	Location	Prices_per_year (₦ or $)	Bedrooms	Baths	Toilets
2116	Okota Lagos	₦ 1,500,000	2.0	3.0	3.0
2117	Victoria Island Lagos	₦ 15,000,000	3.0	3.0	4.0
2118	Banana Island Ikoyi Lagos	₦ 35,000,000	3.0	3.0	4.0
2119	Ago Palace Okota Lagos	₦ 1,000,000	2.0	3.0	3.0
2120	Banana Island Ikoyi Lagos	₦ 25,000,000	3.0	3.0	4.0
2121	Phase 2 Osborne Foreshore Estate Ikoyi Lagos	₦ 7,500,000	2.0	2.0	3.0
2122	Osborne Phase 2 Osborne Foreshore Estate Ikoyi Lagos	₦ 13,000,000	3.0	3.0	4.0
2123	Royal Pine Estate Orchid Chevron Lekki Lagos	₦ 800,000	1.0	1.0	1.0
2124	Ndike Street Obawole Ogba Lagos	₦ 300,000	0.0	0.0	0.0
2125	Old Ikoyi Ikoyi Lagos	₦ 13,000,000	3.0	3.0	4.0
2126	Magodo Gra Phase 2 Kosofe Ikosi Lagos	₦ 1,800,000	0.0	0.0	0.0
2127	Shangisha Kosofe Ikosi Lagos	₦ 1,800,000	2.0	0.0	0.0
2128	Old Ikoyi Ikoyi Lagos	₦ 12,000,000	3.0	3.0	4.0
2129	Shangisha Kosofe Ikosi Lagos	₦ 2,500,000	3.0	0.0	0.0
2130	Olowora Ojodu Lagos	₦ 800,000	1.0	0.0	0.0
2131	Off Yaya Abatan Road Ogba Bus Stop Ogba Lagos	₦ 1,600,000	3.0	3.0	0.0
2132	Banana Island Ikoyi Lagos	₦ 30,000,000	4.0	4.0	4.0
2133	Kalejaiye Street, Fola Agoro Shomolu Lagos	₦ 600,000	1.0	0.0	0.0
2134	Medina Gbagada Lagos	₦ 3,500,000	4.0	0.0	0.0
2135	Off Almustapha Bus Stop Ayobo Ipaja Lagos	₦ 700,000	2.0	0.0	0.0
2136	Nobext Bus Stop, Ikotun Road Ikotun Igando Lagos	₦ 700,000	1.0	0.0	0.0
2137	Aguda Surulere Lagos	₦ 2,500,000	3.0	0.0	0.0
2138	Orisunmibare Ayobo Ipaja Lagos	₦ 300,000	1.0	0.0	0.0
2139	Off Pedro Road Shomolu Lagos	₦ 1,500,000	3.0	0.0	0.0
2140	Ajao Estate Isolo Lagos	₦ 6,000,000	4.0	0.0	0.0
2141	Ikola Iyana Ipaja Ipaja Lagos	₦ 900,000	3.0	0.0	0.0
2142	Oniru Victoria Island Lagos	₦ 380,000,000	4.0	4.0	5.0
2143	Aguda Surulere Lagos	₦ 2,500,000	3.0	0.0	0.0
2144	Iyana Ekoro, Meiran Abule Egba Lagos	₦ 500,000	0.0	0.0	0.0
2145	Ipaja Lagos	₦ 1,200,000	2.0	0.0	0.0
2146	Oniru Victoria Island Lagos	₦ 8,500,000	3.0	0.0	0.0
2147	Aboru Iyana Ipaja Ipaja Lagos	₦ 500,000	1.0	0.0	0.0
2148	Harmony Estate, Aboru Iyana Ipaja Ipaja Lagos	₦ 1,100,000	2.0	0.0	0.0
2149	Mangoro Agege Lagos	₦ 1,500,000	3.0	0.0	0.0
2150	Fadeyi Shomolu Lagos	₦ 550,000	0.0	0.0	0.0
2151	Aborishade, Lawanson Road Surulere Lagos	₦ 2,300,000	2.0	0.0	0.0
2152	Abaranje Ikotun Igando Lagos	₦ 550,000	2.0	0.0	0.0
2153	Magodo Ojodu Lagos	₦ 1,000,000	2.0	0.0	0.0
2154	Riverside Apartments, Opposite Rebecca Court, Banana Island Road Ikoyi Lagos	₦ 16,000,000	3.0	0.0	0.0
2155	Obawole Ogba Lagos	₦ 1,000,000	0.0	0.0	0.0
2156	Oke Ira Ogba Lagos	₦ 1,000,000	4.0	0.0	0.0
2157	Fadeyi Shomolu Lagos	₦ 800,000	1.0	0.0	0.0
2158	Abule Egba Lagos	₦ 400,000	1.0	0.0	0.0
2159	Abiola Housing Estate Ayobo Ipaja Lagos	₦ 500,000	2.0	0.0	0.0
2160	Obawole, Ifako Ijaiye Agege Lagos	₦ 1,200,000	3.0	0.0	0.0
2161	Abiodun Street Shomolu Lagos	₦ 600,000	1.0	0.0	1.0
2162	Sabo Yaba Lagos	₦ 1,700,000	2.0	0.0	0.0
2163	Orisunmibare Bus Stop Ayobo Ipaja Lagos	₦ 400,000	1.0	0.0	0.0
2164	Ayobo Ipaja Lagos	₦ 400,000	1.0	0.0	0.0
2165	Berger Ojodu Lagos	₦ 850,000	1.0	0.0	0.0
2166	Aguda Surulere Lagos	₦ 1,500,000	1.0	0.0	0.0
2167	Jebba Ebute Metta Yaba Lagos	₦ 2,000,000	2.0	0.0	0.0
2168	Off Folagoro Shomolu Lagos	₦ 1,300,000	0.0	0.0	0.0
2169	Remlek Badore Ajah Lagos	₦ 400,000	1.0	1.0	1.0
2170	Sangotedo Ajah Lagos	₦ 800,000	1.0	1.0	2.0
2171	Thomas Estate Ajah Lagos	₦ 1,500,000	2.0	2.0	0.0
2172	Oyedele Anthony Village Maryland Lagos	₦ 2,000,000	3.0	3.0	4.0
2173	Ladele Dada Kilo Marsha Surulere Lagos	₦ 2,000,000	3.0	3.0	4.0
2174	Nnobi Surulere Lagos	₦ 800,000	1.0	1.0	1.0
2175	Agbonyin Surulere Lagos	₦ 1,300,000	2.0	2.0	3.0
2176	Nike Art Gallary Ikate Lekki Lagos	₦ 3,700,000	1.0	1.0	1.0
2177	Off Yerunde Brown Gbagada Ifako Gbagada Gbagada Lagos	₦ 2,500,000	2.0	2.0	3.0
2178	Bakery Bus Stop Badore Ajah Lagos	₦ 350,000	1.0	1.0	1.0
2179	Seaside Estate Badore Ajah Lagos	₦ 750,000	0.0	0.0	0.0
2180	Peacevile Estate Badore Badore Ajah Lagos	₦ 1,000,000	0.0	0.0	0.0
2181	Peacevile Estate Badore Badore Ajah Lagos	₦ 1,500,000	2.0	3.0	3.0
2182	Close To General Hospital Ifako Gbagada Gbagada Lagos	₦ 2,500,000	3.0	2.0	3.0
2183	The Property Located At Igbo Agbowa Off Ibeshe Road By Abuja Bus Stop Ibeshe Ikorodu Lagos	₦ 500,000	2.0	2.0	2.0
2184	Victoria Island Lagos	₦ 17,000,000	3.0	3.0	3.0
2185	The Property Located At Igbo Agbowa Off Ibeshe Road By Abuja Bus Stop Ibeshe Ikorodu Lagos	₦ 350,000	1.0	1.0	2.0
2186	Magodo Kosofe Ikosi Lagos	₦ 2,700,000	3.0	3.0	4.0
2187	Oregun Ikeja Lagos	₦ 1,600,000	2.0	2.0	3.0
2188	Omole Phase 2 Ojodu Lagos	₦ 1,500,000	2.0	2.0	3.0
2189	Unilag Estate Magodo Kosofe Ikosi Lagos	₦ 3,000,000	3.0	3.0	4.0
2190	Olowora Ojodu Lagos	₦ 2,500,000	3.0	3.0	4.0
2191	Ikate Lekki Lagos	₦ 6,000,000	2.0	2.0	3.0
2192	The Property Located At Valley View Estate Ebute/igbogbo Road Ebute Ikorodu Lagos	₦ 1,300,000	2.0	2.0	3.0
2193	Close To Four Point Hotel Oniru Victoria Island Lagos	₦ 7,000,000	2.0	2.0	3.0
2194	Main Asokoro Abuja	₦ 600,000,000	5.0	5.0	6.0
2195	Oniru Victoria Island Lagos	₦ 15,000,000	3.0	3.0	4.0
