	Location	Prices_per_year (₦ or $)	Bedrooms	Baths	Toilets
3852	Lekki Phase 1 Lekki Lagos	₦ 15,000,000	3.0	3.0	4.0
3853	Aqua Estate Ogudu Orike Ogudu Lagos	₦ 1,500,000	2.0	3.0	0.0
3854	Temple Road Old Ikoyi Ikoyi Lagos	₦ 17,000,000	4.0	5.0	5.0
3855	Off Keffi Street Awolowo Road Ikoyi S.w Ikoyi Lagos	₦ 6,000,000	3.0	4.0	4.0
3856	Greenbay ( Sterling Cooperative ) Estate Behind Megamound Estate Along Lekki Expressway Lekki Lagos	₦ 3,500,000	1.0	2.0	2.0
3857	Musa Yar'adua Street, Adeola Odeku Victoria Island Lagos	₦ 25,000,000	3.0	4.0	4.0
3858	Wuye Abuja	₦ 150,000,000	4.0	4.0	5.0
3859	Off Abraham Adesanya Estate Lekki Scheme 2 Ajah Lagos	₦ 500,000	1.0	1.0	1.0
3860	Lekki Phase 1 Lekki Lagos	₦ 10,000,000	3.0	4.0	4.0
3861	Dideolu Estate, Oniru Victoria Island Lagos	₦ 10,000,000	3.0	4.0	4.0
3862	Ikate Lekki Lagos	₦ 8,000,000	3.0	4.0	4.0
3863	Ilaje Ajah Lagos	₦ 3,200,000	2.0	3.0	3.0
3864	Banana Island Ikoyi Lagos	₦ 18,000,000	3.0	4.0	4.0
3865	Iponri Surulere Lagos	₦ 500,000	0.0	0.0	0.0
3866	Akerele Estate Oworosoki Gbagada Oworonshoki Gbagada Lagos	₦ 700,000	1.0	2.0	2.0
3867	Oniru Victoria Island Lagos	₦ 10,000,000	3.0	4.0	4.0
3868	Ikoyi Lagos	₦ 20,000,000	3.0	3.0	4.0
3869	Osapa London Lekki Lagos	₦ 2,000,000	1.0	1.0	2.0
3870	Thera Peace Zone Aptech Estate Sangotedo Ajah Sangotedo Ajah Lagos	₦ 700,000	1.0	1.0	1.0
3871	Mobil Road Ajah Ilaje Ilaje Ajah Lagos	₦ 600,000	1.0	1.0	1.0
3872	Close To Bus Stop Ogudu Ogudu Lagos	₦ 1,200,000	1.0	1.0	2.0
3873	Agundi Agungi Lekki Lagos	₦ 2,800,000	3.0	3.0	4.0
3874	Abule Ijesha Yaba Lagos	₦ 1,200,000	1.0	2.0	2.0
3875	Akoka Yaba Lagos	₦ 2,500,000	2.0	2.0	3.0
3876	Iyana Ipaja Ipaja Lagos	₦ 300,000	1.0	1.0	1.0
3877	Ajao Estate Isolo Lagos	₦ 1,600,000	2.0		
3878	Agungi Lekki Lagos	₦ 3,000,000	3.0	3.0	4.0
3879	Mafoluku Oshodi Lagos	₦ 700,000	1.0		
3880	Anthony Village Maryland Lagos	₦ 3,000,000			
3881	Anthony Village Maryland Lagos	₦ 3,500,000	3.0		
3882	Palmgroove Ikorodu Road(ilupeju) Ilupeju Lagos	₦ 550,000	0.0	0.0	0.0
3883	Palmgroove, Ikorodu Road(ilupeju) Ilupeju Lagos	₦ 400,000	0.0	0.0	0.0
3884	Fadeyi Jibowu Yaba Lagos	₦ 200,000	0.0	0.0	0.0
3885	Aguda Surulere Lagos	₦ 1,500,000	2.0	2.0	2.0
3886	Aguda Surulere Lagos	₦ 1,000,000	1.0	1.0	1.0
3887	Berra Estate Chevron Lekki Lagos	₦ 1,800,000	1.0	1.0	2.0
3888	Okupe Estate Mende Maryland Lagos	₦ 12,000,000	4.0	4.0	4.0
3889	Soluyi Gbagada Lagos	₦ 1,200,000	1.0	1.0	2.0
3890	Seaflow Estate Ifako Gbagada Gbagada Lagos	₦ 1,200,000	3.0	3.0	3.0
3891	Oniru Victoria Island Lagos	₦ 15,000,000	3.0	3.0	4.0
3892	Banana Island Ikoyi Lagos	₦ 26,000,000			
3893	Ikoyi Lagos	₦ 25,000,000	4.0	4.0	5.0
3894	Banana Island Ikoyi Lagos	₦ 25,000,000	4.0	4.0	5.0
3895	Gowon Estate Ipaja Lagos	₦ 2,000,000	2.0	2.0	2.0
3896	Obanikoro Estate Obanikoro Shomolu Lagos	₦ 3,000,000	2.0	2.0	3.0
3897	Obanikoro Estate Obanikoro Shomolu Lagos	₦ 3,500,000	3.0	3.0	4.0
3898	Abule Ijesha Yaba Lagos	₦ 450,000	0.0	0.0	0.0
3899	Palmgroove Shomolu Lagos	₦ 400,000	0.0	0.0	0.0
3900	Old Ikoyi Old Ikoyi Ikoyi Lagos	$ 110,000	5.0	5.0	5.0
3901	Onipanu Shomolu Lagos	₦ 400,000	0.0	0.0	0.0
3902	Sangotedo Ajah Lagos	₦ 3,000,000	3.0	0.0	4.0
3903	Thomas Estate Ajah Lagos	₦ 2,000,000	2.0	0.0	3.0
3904	Orchid Lekki Lagos	₦ 1,550,000	0.0	0.0	0.0
3905	Orchid Lekki Lagos	₦ 800,000	0.0	0.0	0.0
3906	Sunny Villa Estate Ajah Lagos	₦ 500,000	0.0	0.0	0.0
3907	Badore Ajah Lagos	₦ 600,000	0.0	0.0	0.0
3908	Ikate Lekki Lagos	₦ 8,000,000	2.0	2.0	0.0
3909	Thomas Estate Ajah Lagos	₦ 1,500,000	1.0	1.0	0.0
3910	Parkview Estate Ikoyi Lagos	₦ 200,000,000	3.0	3.0	4.0
3911	Abule Ijesha Yaba Lagos	₦ 550,000	0.0	0.0	0.0
3912	Badore Ajah Lagos	₦ 1,500,000	3.0	4.0	0.0
3913	Oniru Lekki Lagos	₦ 2,500,000	1.0	2.0	0.0
3914	Abule Oja Yaba Lagos	₦ 450,000	0.0	0.0	0.0
3915	Unity Estate, Badore Ajah Lagos	₦ 500,000	0.0	0.0	0.0
3916	Onipanu Shomolu Lagos	₦ 550,000	0.0	0.0	0.0
3917	Off Ilaje, Bariga Shomolu Lagos	₦ 350,000	0.0	0.0	0.0
3918	Olorunsogo Mushin Lagos	₦ 400,000	0.0	0.0	0.0
3919	Bariga Shomolu Lagos	₦ 500,000	0.0	0.0	0.0
3920	Vi Lekki Lagos	₦ 350,000	0.0	0.0	0.0
3921	Palmgroove Shomolu Lagos	₦ 500,000	0.0	0.0	0.0
3922	Obanikoro Estate Shomolu Lagos	₦ 400,000	0.0	0.0	0.0
3923	Off Morroco Road, Ikorodu Road Shomolu Lagos	₦ 300,000	0.0	0.0	0.0
3924	Chevron Lekki Lagos	₦ 800,000	0.0	0.0	0.0
3925	Orchid, Lekki Lagos	₦ 1,400,000	0.0	0.0	0.0
3926	Graceland Estate Ajah Lagos	₦ 2,000,000	3.0	0.0	3.0
3927	Good Homes Estate, Addo Road, Ajah Lagos	₦ 450,000	0.0	0.0	0.0
3928	Victoria Bay Estate Orchid Road Eleganza Bustop Lekki Lagos Lekki Lagos	₦ 1,600,000	0.0	1.0	1.0
3929	Ladilak, Bariga Shomolu Lagos	₦ 400,000	0.0	0.0	0.0
3930	Adekunle Ebute Metta Yaba Lagos	₦ 1,500,000	2.0	2.0	2.0
3931	Morroco, Onipanu Shomolu Lagos	₦ 500,000	0.0	0.0	0.0
3932	Akoka Yaba Lagos	₦ 400,000	0.0	0.0	0.0
3933	Idi Araba Surulere Lagos	₦ 400,000	0.0	0.0	0.0
3934	Springspay Estate Ikate Lekki Lagos	₦ 400,000	0.0	1.0	1.0
3935	Obanikoro Shomolu Lagos	₦ 550,000	0.0	0.0	0.0
3936	Soluyi Gbagada Lagos	₦ 500,000	0.0	0.0	0.0
3937	Thomas Estate Ajah Lagos	₦ 2,200,000	2.0	2.0	0.0
3938	Victoria Bay Estate, Orchid Road Eleganza Bus Stop, Phase 2 Lekki Lagos	₦ 1,000,000	0.0	1.0	1.0
3939	Lekki Phase 1 Lekki Lagos	₦ 5,000,000	2.0	2.0	0.0
3940	Banana Island Ikoyi Lagos	₦ 18,000,000	3.0	2.0	0.0
3941	Ikoyi Lagos	₦ 15,000,000	3.0	3.0	0.0
3942	Lekki Phase 1 Lekki Lagos	₦ 2,700,000	1.0	0.0	0.0
3943	Thomas Estate Ajah Lagos	₦ 1,300,000	1.0	0.0	2.0
3944	Orchid Lekki Lagos	₦ 750,000	0.0	0.0	0.0
3945	Aptech Sangotedo Ajah Lagos	₦ 1,500,000	2.0	0.0	3.0
3946	Thera Annex Sangotedo Ajah Lagos	₦ 700,000	0.0	0.0	0.0
3947	Orchid Lekki Lagos	₦ 500,000	0.0	0.0	0.0
3948	Sangotedo Ajah Lagos	₦ 1,500,000	2.0	3.0	0.0
3949	Olorunsogo, Mushin Lagos	₦ 100,000	0.0	0.0	0.0
3950	Royal Pine Estate Orchid Road Eleganza Bustop Lekki Phase 2 Lekki Lagos	₦ 1,800,000	0.0	1.0	1.0
3951	Ilaje Bariga Shomolu Lagos	₦ 500,000	0.0	0.0	0.0
3952	Victoria Island Lagos	₦ 17,000,000	3.0	3.0	3.0
3953	Abule Oja Yaba Lagos	₦ 300,000	0.0	0.0	0.0
3954	Fadeyi Ikorodu Road(ilupeju) Ilupeju Lagos	₦ 600,000	0.0	0.0	0.0
3955	Abule Oja Yaba Lagos	₦ 450,000	0.0	0.0	0.0
3956	Folagoro, Abule Ijesha Yaba Lagos	₦ 500,000	0.0	1.0	1.0
3957	Fola Agoro Yaba Lagos	₦ 600,000	0.0	1.0	1.0
3958	Abule Oja Yaba Lagos	₦ 400,000	0.0	0.0	0.0
3959	Ijesha Abule Oja Yaba Lagos	₦ 150,000	0.0	0.0	0.0
3960	Onike Yaba Lagos	₦ 350,000	0.0	0.0	0.0
3961	Fadeyi Shomolu Lagos	₦ 8,000	0.0	0.0	0.0
3962	Wuye Abuja	₦ 150,000,000	4.0	4.0	5.0
3963	Jibowu Yaba Lagos	₦ 175,000			
3964	Off Morroco Road, Shomolu Lagos	₦ 600,000	0.0	0.0	0.0
3965	Obanikoro Estate, Shomolu Lagos	₦ 500,000	0.0	0.0	0.0
3966	Alagomeji Yaba Lagos	₦ 1,000,000	0.0	0.0	0.0
3967	Megamond Estate Ikota Lekki Lagos	₦ 3,000,000	2.0	2.0	0.0
3968	Lekki Phase 2 Lekki Lagos	₦ 850,000	0.0	1.0	1.0
3969	Royal Pine Estate, Orchid Road Eleganza Bus Stop, Phase 2 Lekki Lagos	₦ 1,500,000	0.0	1.0	1.0
3970	Phase 1, Lekki Lagos	₦ 2,000,000	0.0	0.0	0.0
3971	Abule Ijesha Yaba Lagos	₦ 550,000	0.0	0.0	0.0
3972	Cement Beside Ikeja Mangoro Ikeja Lagos	₦ 1,000,000	0.0	0.0	0.0
3973	Orchid Road Eleganza Bus Stop, Phase 2 Lekki Lagos	₦ 1,600,000	0.0	1.0	1.0
3974	Royal Pine Estate, Orchid Road, Phase 2 Lekki Lagos	₦ 900,000	0.0	1.0	1.0
3975	Spg Ologolo Lekki Lagos	₦ 2,000,000	2.0	2.0	2.0
3976	Abule Oja Yaba Lagos	₦ 600,000	0.0	0.0	0.0
3977	Palmgroove Shomolu Lagos	₦ 500,000	0.0	0.0	0.0
3978	Abule Ijesha Yaba Lagos	₦ 450,000	0.0	0.0	0.0
3979	Abule Ijesha Yaba Lagos	₦ 500,000			
3980	Off Abiodun Fola Agoro Yaba Lagos	₦ 550,000	0.0	0.0	0.0
3981	Fola Agoro Yaba Lagos	₦ 450,000	0.0	0.0	0.0
3982	Jibowu Yaba Lagos	₦ 550,000	0.0	0.0	0.0
3983	Badore Ajah Lagos	₦ 450,000	0.0	0.0	0.0
3984	Shomolu Lagos	₦ 550,000	0.0	0.0	0.0
3985	Sangotedo Ajah Lagos	₦ 1,200,000	1.0	2.0	0.0
3986	Vi Victoria Island Lagos	₦ 9,000,000	2.0	2.0	0.0
3987	Lekki Phase 1 Lekki Lagos	₦ 1,500,000	0.0	0.0	0.0
3988	Lekki Phase 1 Lekki Lagos	₦ 6,000,000	3.0	3.0	0.0
3989	Jibowu, Yaba Lagos	₦ 500,000	0.0	1.0	1.0
3990	Morocco Shomolu Lagos	₦ 500,000	0.0	1.0	1.0
3991	Akoka Yaba Lagos	₦ 650,000	0.0	0.0	0.0
3992	Fadeyi Jibowu Yaba Lagos	₦ 8,000	0.0	0.0	0.0
3993	Akoka Yaba Lagos	₦ 550,000	0.0	0.0	0.0
3994	Golden Palm Estate Ben Flo,orchid Road Eleganza Bustop Lekki Phase 2 Lekki Lagos	₦ 800,000	0.0	1.0	1.0
3995	Adekunle Alagomeji Yaba Lagos	₦ 600,000	1.0	1.0	1.0
3996	Palmgroove Shomolu Lagos	₦ 450,000	0.0	0.0	0.0
3997	Palmgroove Shomolu Lagos	₦ 600,000			
3998	Abule Ijesha Yaba Lagos	₦ 150,000	0.0	0.0	1.0
3999	Abule Ijesha Yaba Lagos	₦ 150,000	0.0	0.0	0.0
4000	Lekki Phase 1 Lekki Lagos	₦ 5,000,000	2.0	2.0	0.0
4001	Yaba Tech Quarters, Jibowu Yaba Lagos	₦ 500,000	0.0	0.0	0.0
4002	Abule Oja Abule Ijesha Yaba Lagos	₦ 150,000	0.0	1.0	1.0
4003	White House, Aga, Ikorodu Lagos	₦ 600,000	2.0	2.0	3.0
4004	Central Ikoyi Ikoyi Lagos	$ 99,500	4.0	4.0	4.0
4005	Onipanu Shomolu Lagos	₦ 500,000	0.0	0.0	0.0
4006	Ikate Lekki Lagos	₦ 4,000,000	0.0	0.0	0.0
4007	Ben Flo Street Golden Palm Estate Orchid Road Eleganza Bustop Lekki Phase 2 Lekki Lagos	₦ 900,000	0.0	1.0	1.0
4008	Pedro Road, Palmgroove Shomolu Lagos	₦ 500,000	0.0	0.0	0.0
4009	Ilaje Ajah Lagos	₦ 550,000	0.0	0.0	0.0
4010	Rockstone Badore Ajah Lagos	₦ 600,000	1.0	0.0	0.0
4011	Orchid Lekki Lagos	₦ 1,100,000	0.0	0.0	0.0
4012	Off Coker Road, Ilupeju Lagos	₦ 450,000	0.0	0.0	0.0
4013	Pedro Palmgroove Shomolu Lagos	₦ 200,000	0.0	0.0	0.0
4014	Diplomatic Zone Katampe Ext Abuja	₦ 365,000,000	5.0	5.0	6.0
4015	Springs Bay Estate Ikate Lekki Lagos	₦ 500,000	0.0	1.0	1.0
4016	Onipanu Shomolu Shomolu Lagos	₦ 500,000	0.0	1.0	1.0
4017	Off Morroco, Ikorodu Road Shomolu Lagos	₦ 500,000	0.0	0.0	0.0
4018	Ikate Lekki Lagos	₦ 8,000,000	3.0	3.0	0.0
4019	Orchid Road Lekki Lagos	₦ 1,500,000	0.0	0.0	0.0
4020	Ilaje Bariga Shomolu Lagos	₦ 550,000	0.0	1.0	1.0
4021	Morrocco Shomolu Lagos	₦ 1,300,000	1.0	1.0	2.0
4022	Thomas Estate Ajah Lagos	₦ 2,000,000	2.0	0.0	3.0
4023	Orchid Lekki Lagos	₦ 1,100,000	0.0	0.0	0.0
4024	Ikota Lekki Lagos	₦ 3,800,000	3.0	3.0	0.0
4025	Orchid Road Eleganza Bustop Lekki Phase 2 Lekki Lagos	₦ 1,000,000	0.0	1.0	1.0
4026	Chevron Lekki Lagos	₦ 1,400,000	0.0	1.0	1.0
4027	Abule Ijesha Yaba Lagos	₦ 550,000	0.0	0.0	0.0
4028	Abule Oja Yaba Lagos	₦ 350,000	0.0	0.0	0.0
4029	Akoka Yaba Lagos	₦ 600,000	0.0	0.0	0.0
4030	Shomolu Lagos	₦ 550,000	0.0	0.0	0.0
4031	Akoka Yaba Lagos	₦ 600,000	0.0	0.0	0.0
4032	Onipanu Shomolu Lagos	₦ 500,000	0.0	0.0	0.0
4033	Olokonla Ajah Lagos	₦ 2,200,000	4.0	0.0	0.0
4034	Fadeyi Jibowu Yaba Lagos	₦ 10,000	0.0	0.0	0.0
4035	Jibowu, Yaba Lagos	₦ 500,000	0.0	0.0	0.0
4036	Bajulaiye Shomolu Lagos	₦ 500,000	0.0	1.0	1.0
4037	Ikate Lekki Lagos	₦ 3,700,000	1.0	1.0	0.0
4038	Pedro, Palmgroove Shomolu Lagos	₦ 350,000	0.0	0.0	0.0
4039	Salem Ikate Lekki Lagos	₦ 2,000,000	1.0	0.0	2.0
4040	Chevron, Lekki Lagos Chevron Lekki Lagos	₦ 3,000,000	2.0	2.0	3.0
4041	Orchid Road Eleganza Bustop Lekki Phase 2 Lekki Lagos	₦ 1,200,000		1.0	1.0
4042	Abule Ijesha Yaba Lagos	₦ 150,000	0.0	0.0	0.0
4043	Remlek Badore Ajah Lagos	₦ 650,000	1.0		2.0
4044	Chevron Lekki Lagos	₦ 1,000,000	0.0	0.0	0.0
4045	Palmgroove Shomolu Lagos	₦ 550,000	0.0	0.0	0.0
4046	Abule Oja Yaba Lagos	₦ 150,000	0.0	0.0	0.0
4047	Somolu Fola Agoro Yaba Lagos	₦ 1,700,000	3.0	3.0	2.0
4048	Orchid Road Lekki Lagos	₦ 1,100,000	0.0	0.0	0.0
4049	Osapa London Lekki Lagos	₦ 4,500,000	1.0	1.0	0.0
4050	Ikate Lekki Lagos	₦ 6,000,000	3.0	3.0	0.0
4051	Chevron Lekki Lagos	₦ 1,600,000	0.0	0.0	0.0
4052	Lekki Phase 1 Lekki Lagos	₦ 7,000,000	2.0	2.0	0.0
4053	Lekki Phase 1 Lekki Lagos	₦ 5,500,000	3.0	3.0	0.0
4054	Lekki Phase 1 Lekki Lagos	₦ 6,500,000	3.0	3.0	0.0
4055	Ikota Lekki Lagos	₦ 3,200,000	3.0	3.0	0.0
4056	Banana Island Road, Ikoyi Lagos	₦ 25,000,000	3.0	3.0	3.0
4057	Ikota Lekki Lagos	₦ 1,500,000	0.0	0.0	0.0
4058	Onike Yaba Lagos	₦ 700,000	0.0	0.0	0.0
4059	Abule Ijesha Yaba Lagos	₦ 600,000	0.0	0.0	0.0
4060	Abule Ijesha Yaba Lagos	₦ 450,000	0.0	0.0	0.0
4061	Onipanu Shomolu Lagos	₦ 500,000	0.0	0.0	0.0
4062	Onipanu, Ikorodu Road Shomolu Lagos	₦ 500,000	0.0	0.0	0.0
4063	Fadeyi, Ikorodu Road(ilupeju) Ilupeju Lagos	₦ 150,000	0.0	0.0	0.0
4064	Orchid Lekki Lagos	₦ 950,000	0.0	0.0	0.0
4065	Olokonla Ajah Lagos	₦ 1,400,000	2.0	0.0	3.0
4066	Old Ikoyi Ikoyi Lagos	₦ 700,000,000	4.0	4.0	5.0
4067	Harmony Estate, Langbasa Ajah Lagos	₦ 2,000,000	3.0	0.0	4.0
4068	Palmgroove Shomolu Lagos	₦ 550,000	0.0	0.0	0.0
4069	Oko Oba Agege Lagos	₦ 800,000	0.0	0.0	0.0
4070	Ilasan Lekki Lagos	₦ 4,000,000	2.0	2.0	0.0
4071	Bariga Shomolu Lagos	₦ 500,000	0.0	1.0	1.0
4072	Olateju Mushin Lagos	₦ 300,000	0.0	0.0	0.0
4073	Olateju Mushin Lagos	₦ 350,000	0.0	0.0	0.0
4074	Olorunsogo Mushin Lagos	₦ 350,000	0.0	0.0	0.0
4075	Off Fola Agoro, Yaba Lagos	₦ 250,000	0.0	0.0	0.0
4076	Spg Road, Ologolo Lekki Lagos	₦ 3,000,000	3.0	3.0	4.0
4077	Ikorodu Road(ilupeju) Ilupeju Lagos	₦ 500,000	0.0	0.0	0.0
4078	Agungi Lekki Lagos	₦ 800,000	0.0	0.0	0.0
4079	Orchid Lekki Lagos	₦ 1,600,000	0.0	0.0	0.0
4080	Lekki Phase 1 Lekki Lagos	₦ 1,300,000	1.0	1.0	1.0
4081	Salem, Ikate Lekki Lagos	₦ 2,400,000	0.0	1.0	1.0
4082	Palmgroove Shomolu Lagos	₦ 800,000	0.0	0.0	0.0
4083	Igbo Efon Lekki Lagos	₦ 800,000	0.0	0.0	0.0
4084	Obanikoro Shomolu Lagos	₦ 400,000	0.0	0.0	0.0
4085	Marshy Estate Addo Road Ajah Lagos	₦ 500,000			
4086	Onipanu Shomolu Lagos	₦ 500,000	0.0	1.0	1.0
4087	Lekki Lagos	₦ 5,500,000	0.0	0.0	0.0
4088	Lekki Lagos	₦ 3,500,000	0.0	0.0	0.0
4089	Ikoyi Lagos	₦ 14,000,000	0.0	0.0	0.0
4090	Sanya Road, Aguda Surulere Lagos	₦ 1,300,000	1.0	2.0	2.0
4091	Lekki Lagos	₦ 3,500,000	0.0	0.0	0.0
4092	Millenuim Ups Gbagada Lagos	₦ 2,500,000	2.0	3.0	3.0
4093	Oniru Victoria Island Lagos	₦ 10,000,000	0.0	0.0	0.0
4094	Atunrase Medina Gbagada Lagos	₦ 3,500,000	3.0	4.0	4.0
4095	Lekki Phase 1 Lekki Lagos	₦ 5,000,000	0.0	0.0	0.0
4096	Pedro Axis, Shomolu Lagos	₦ 1,200,000			
4097	Medina Gbagada Lagos	₦ 3,500,000	3.0	4.0	4.0
4098	Parkview Estate Ikoyi Lagos	₦ 12,000,000	0.0	0.0	0.0
4099	Anthony Village Maryland Lagos	₦ 4,500,000	3.0	4.0	4.0
4100	Millenuim Ups Gbagada Lagos	₦ 2,500,000	2.0	3.0	3.0
4101	Badore Ajah Lagos	₦ 1,100,000	0.0	0.0	0.0
4102	Anifowishe, Ikeja Lagos	₦ 3,000,000	2.0	2.0	3.0
4103	Aguda Surulere Lagos	₦ 2,500,000	3.0	3.0	3.0
4104	Lekki Lagos	₦ 5,000,000	0.0	0.0	0.0
4105	Horizon Estate, Ikate Lekki Lagos	₦ 4,500,000	1.0	2.0	2.0
4106	Orchid Lekki Lagos	₦ 3,600,000	3.0	3.0	4.0
4107	Oniru Victoria Island Lagos	₦ 8,500,000	0.0	0.0	0.0
4108	Old Ikoyi Old Ikoyi Ikoyi Lagos	$ 110,000	5.0	5.0	5.0
4109	Oniru Victoria Island Lagos	₦ 8,000,000	3.0	3.0	4.0
4110	Close To Sky Shopoing Mall Ajah Lagos	₦ 1,500,000	3.0	3.0	4.0
4111	Afolabi Street, Off Toyin Street Ikeja Lagos	₦ 3,000,000	3.0	0.0	0.0
4112	Ikoyi Lagos	₦ 25,000,000	4.0	4.0	5.0
4113	Chevron Lekki Lagos	₦ 2,300,000	1.0	2.0	2.0
4114	Ikoyi Lagos	₦ 13,000,000	3.0	4.0	4.0
4115	Peninsula Estate Ajah Lagos	₦ 2,500,000	3.0	3.0	4.0
4116	Lekki Phase 2 Lekki Lagos	₦ 5,000,000	3.0	3.0	4.0
4117	Lekki Phase 1 Lekki Lagos	₦ 5,000,000	2.0	2.0	3.0
4118	Banana Island Estate Ikoyi Lagos	₦ 40,000,000	5.0	5.0	6.0
4119	Banana Island Ikoyi Lagos	₦ 10,000,000	2.0	2.0	3.0
4120	Osapa London Lekki Lagos	₦ 4,500,000	3.0	3.0	4.0
4121	Lekki Phase 1 Lekki Lagos	₦ 10,000,000	3.0	2.0	4.0
4122	Mobil Road Ilaje Ajah Lagos	₦ 3,800,000	3.0	3.0	3.0
4123	Osapa London Lekki Lagos	₦ 4,500,000	3.0	3.0	4.0
4124	Lekki Phase 1 Lekki Lagos	₦ 4,000,000	2.0	2.0	3.0
4125	Yusuf Street, Selewu Igbogbo Ikorodu Lagos	₦ 250,000	1.0	1.0	2.0
4126	Ajao Estate Isolo Lagos	₦ 800,000	1.0	1.0	1.0
4127	Off Thomas Estate, Abraham Adesanya Estate Ajah Lagos	₦ 900,000	0.0	1.0	2.0
4128	Off Admiralty Way, Lekki Phase 1 Lekki Lagos	₦ 9,500,000	3.0	4.0	4.0
4129	Off Iju Road,ogba Fagba Agege Lagos	₦ 1,700,000	3.0	3.0	4.0
4130	Oregun Ikeja Lagos	₦ 1,200,000	0.0	0.0	0.0
4131	Alagomeji Yaba Lagos	₦ 1,000,000	0.0	0.0	0.0
4132	Sangotedo Ajah Lagos	₦ 900,000	2.0	2.0	3.0
4133	Osapa London Lekki Lagos	₦ 600,000	1.0	1.0	1.0
4134	Ologolo Lekki Lagos	₦ 4,000,000	3.0	3.0	4.0
4135	Sangotedo Ajah Lagos	₦ 1,300,000	2.0	2.0	3.0
4136	Close To Thomas Estate, Ajah Lagos	₦ 800,000	0.0	0.0	1.0
4137	Itele Close To Ayobo Alimosho Lagos	₦ 250,000	0.0	0.0	0.0
4138	Off Pedro Palmgroove Shomolu Lagos	₦ 2,000,000			
4139	Valley View Estate Ebute Ikorodu Lagos	₦ 700,000	2.0	2.0	3.0
4140	Akoka Yaba Lagos	₦ 800,000	0.0	0.0	0.0
4141	Sangotedo Ajah Lagos	₦ 1,400,000	2.0	2.0	3.0
4142	Itele Close To Ayobo Ipaja Lagos	₦ 120,000	1.0	1.0	1.0
4143	Thomas Estate Ajah Lagos	₦ 2,600,000	2.0	2.0	3.0
4144	Eko Pearl, Eko Atlantic Towers Lagos State Kofo Abayomi Victoria Island Lagos	₦ 30,000,000	2.0	3.0	3.0
4145	Ajao Estate Isolo Lagos Mainland Ajao Estate Isolo Lagos	₦ 1,000,000	2.0	2.0	2.0
4146	Off Fola Osibo Street Lekki Phase 1 Lekki Lagos	₦ 8,000,000	3.0	3.0	3.0
4147	Oke Afa Isolo Lagos	₦ 200,000	1.0	1.0	1.0
4148	Banana Island Ikoyi Lagos	₦ 12,000,000	2.0	2.0	3.0
4149	Ajao Estate Isolo Lagos	₦ 700,000	1.0	1.0	1.0
4150	Iyana Ipaja Ipaja Lagos	₦ 750,000	1.0	1.0	1.0
4151	Ajao Estate Isolo Lagos	₦ 500,000	1.0	1.0	1.0
4152	Banana Island Ikoyi Lagos	₦ 16,000,000	2.0	3.0	3.0
4153	Off Admiralty Way, Lekki Phase 1 Lekki Lagos	₦ 4,000,000	1.0	2.0	2.0
4154	Lekky County Homes Along Lekki Expressway Lekki Lagos	₦ 4,000,000	2.0	3.0	3.0
4155	Lekki Phase 1 Lekki Lagos	₦ 5,000,000	3.0	3.0	4.0
4156	Salem Ikate Lekki Lagos	₦ 4,000,000	2.0	3.0	3.0
4157	Oniru Victoria Island Lagos	₦ 7,500,000	0.0	0.0	0.0
4158	Oniru Victoria Island Lagos	₦ 7,000,000	0.0	0.0	0.0
4159	Ikate Lekki Lagos	₦ 12,000,000	5.0	5.0	6.0
4160	Ikoyi Ikoyi Lagos	₦ 25,000,000	4.0	4.0	4.0
4161	Ikota Lekki Lagos	₦ 4,500,000	0.0	0.0	0.0
4162	Off Admiralty Way, Lekki Phase 1 Lekki Lagos	₦ 7,500,000	3.0	4.0	4.0
4163	Off Bishop Oluwole Street, Victoria Island Extension Victoria Island Lagos	₦ 15,000,000	3.0	4.0	4.0
4164	Ilasan Lekki Lagos	₦ 4,500,000	3.0	4.0	4.0
4165	Ifako Gbagada Gbagada Lagos	₦ 3,200,000	3.0	2.0	2.0
4166	Onike Yaba Lagos	₦ 700,000	0.0	0.0	0.0
4167	Akoka Yaba Lagos	₦ 600,000	0.0	0.0	0.0
4168	Castle & Temple Drive, Lekki Phase 1 Lekki Lagos	₦ 7,500,000	4.0	5.0	5.0
4169	Sanusi Fafunwa Victoria Island Lagos	₦ 11,000,000	4.0	5.0	5.0
4170	Eko Atlantic Victoria Island Lagos	₦ 250,000	3.0	3.0	4.0
4171	Ademola Adetokunbo Victoria Island Lagos	₦ 18,000,000	3.0	4.0	4.0
4172	Soluyi Gbagada Lagos	₦ 3,000,000	3.0	3.0	3.0
4173	Sangotedo Ajah Lagos	₦ 1,200,000	2.0	2.0	3.0
4174	Ikoyi Lagos	₦ 7,500,000	3.0	3.0	4.0
4175	Close To Blenco Mall Olokonla Ajah Lagos	₦ 1,700,000	2.0	2.0	3.0
4176	Old Ikoyi Ikoyi Lagos	₦ 23,000,000	4.0	4.0	5.0
4177	Agungi Lekki Lagos	₦ 1,800,000	1.0	1.0	2.0
4178	Osborne Foreshore Estate Ikoyi Lagos	₦ 15,000,000	3.0	3.0	4.0
4179	Lekki Phase 1 Lekki Lagos	₦ 5,000,000	3.0	3.0	4.0
4180	Old Ikoyi Ikoyi Lagos	₦ 18,000,000	3.0	3.0	4.0
4181	Close To Blenco, Sangotedo Ajah Lagos	₦ 1,500,000	3.0	3.0	4.0
