Apartment _Type,Price,Beds,Baths,Toilets,Location,Description
4 BEDROOM HOUSE FOR RENT,10000000,4,4,5,Lekki,"Serviced4 BEDROOM EN-SUITE TOWNHOUSE AVAILABLE FOR RENT LOCATION: LEKKI PHASE 1, LAGO.."
3 BEDROOM FLAT / APARTMENT FOR RENT,1500000,3,3,4,Palmgrove,Serviced3 Bedroom All Ensuite Apartment Features +Ensuite Rooms +Proximity to the ..
2 BEDROOM FLAT / APARTMENT FOR RENT,2500000,2,2,3,Lekki,"Furnished2bedroom spacious flat Rent 2,500,000 per year Agency 10% on a 2 year rent 5.."
3 BEDROOM FLAT / APARTMENT FOR RENT,4500000,3,4,4,Ikeja,Serviced Newly BuiltTo Let A SERVICED GROUND FLOOR 3 BEDROOM FLAT (ALL EN-SUITE ROOMS) TO LET I..
3 BEDROOM FLAT / APARTMENT FOR RENT,13000000,3,3,4,Ikoyi,"3 Bedroom Apartment Location: Banana Island, Ikoyi Rent: N13M Agency Fee.."
1 BEDROOM,250000,1,1,1,Iyana-Ipaja,"Newly BuiltNewly built 2 bedroom and mini flat here to let with pop, kitchen cabinet, 2bedr.."
3 BEDROOM FLAT / APARTMENT FOR RENT,2000000,3,3,4,Victoria Island,Serviced Newly BuiltNew 3 Bedroom All Ensuite Apartment in an estate Features +Only 3 Tenants i..
1 BEDROOM FLAT / APARTMENT FOR RENT,2300000,1,2,2,Lekki,"Serviced Newly BuiltTo Let Letting!! Spacious & serviced Mini-flat Apartment Chevron, Lekki.."
4 BEDROOM HOUSE FOR RENT,20000000,4,4,5,Lekki,"Newly BuiltTO LET !! Lovely 4 Bedroom Semi Detached Duplex *Location: Parkview Ikoyi,.."
1 BEDROOM FLAT / APARTMENT FOR RENT,600000,1,1,1,Lekki,"ServicedA Room Self Contain Available For Rent Location: Osapa, Lekki, Lagos. Rent.."
3 BEDROOM FLAT / APARTMENT FOR RENT,1500000,3,3,4,Ajao Estate,Well Maintained 3 Bedroom All Ensuite Apartment Rent: N1.5m Upstairs Agency:..
4 BEDROOM HOUSE FOR RENT,75000000,4,4,4,Lekki,Newly BuiltBRAND NEW 4BEDROOM TERRACE DUPLEX FOR SALE AT CHEVRON TOLL GATE LEKKI LAGOS A..
5 BEDROOM HOUSE FOR RENT,10000000,5,6,6,Lekki,Furnished Serviced Newly BuiltTo Let Furnished 5 bedroom duplex with bq and swimming pool at Awuse estate O..
1 BEDROOM FLAT / APARTMENT FOR RENT,600000,1,1,2,Ajao Estate,Executive MIni Flat at Ajao Estate Isolo Lagos. Good road secured environment ti..
4 BEDROOM HOUSE FOR RENT,11000000,4,5,5,Lekki,Furnished Serviced Newly BuiltTo Let * TO LET IN OSAPA* FULLY SERVICED LUXURY 4 BEDROOM SEMI DETACHED DUPL..
2 BEDROOM,1700000,2,3,3,Magodo,*Our Outgoing Letting* *Price Review* Newly Built 2 Bedroom Flat at Off Em..
STUDIO APARTMENT,6000000,1,1,1,Ajah,Newly built Fully detached duplex in a gated estate at ologolo Rent 6m net ..
5 BEDROOM COMMERCIAL PROPERTY FOR RENT,20000000,5,5,6,Ikoyi,FOR LEASE: (Commercial Use) Description: 5 Bedroom Duplex with 2 rooms BQ. L..
3 BEDROOM FLAT / APARTMENT FOR RENT,8000000,3,3,4,Lekki,Serviced3 Bedroom Apartment Available For Rent (Ground floor/ can be used for Short let..
4 BEDROOM HOUSE FOR RENT,7500000,4,4,5,Lekki,ServicedTO LET Fully Serviced Luxury 4 Bedroom Semi Detached Duplex with Bq For Rent ..
HOUSE FOR RENT,7000000,4,5,4,Magodo,"*Superb spacious 4 bedroom detached duplex with POP ceiling, screeded wall, and .."
HOUSE FOR RENT,10000000,6,7,7,Lekki,TO LET :NEW BRAND HOUSE 6 BEDROOM DUPLEX TO LET AT OMOLE PHASE 2 VERY GOOD LOCA..
4 BEDROOM FLAT / APARTMENT FOR RENT,27000000,4,4,5,Ikoyi,"Serviced Newly Built4 BEDROOM APARTMENT FOR RENT!!! Location Old Ikoyi,Lagos N 27M Per Annum Agen.."
4 BEDROOM HOUSE FOR RENT,13000000,4,5,5,Victoria Island,"Serviced Newly BuiltFOR RENT IN ONIRU, V/ISLAND -4 Bedroom duplex plus bq available In Oniru,.."
3 BEDROOM FLAT / APARTMENT FOR RENT,18000000,3,4,4,Victoria Island,Serviced Newly BuiltFOR RENT IN V/ISLAND LAGOS STATE NEW 15 UNITS OF 3 BEDROOM FLAT WITH A ROOM B..
4 BEDROOM HOUSE FOR RENT,16000000,4,4,5,Ikoyi,"ServicedA Fully Serviced, Spacious & Solid 4 Bedroom Terrace With 1 Bq For Rent Locat.."
5 BEDROOM COMMERCIAL PROPERTY FOR RENT,50000000,5,5,6,Ikoyi,2 Units of Commercial 5 Bedroom Duplex with 2 Rooms Staff Quarters each For Rent..
4 BEDROOM COMMERCIAL PROPERTY FOR RENT,5000000,4,5,5,Victoria Island,"ServicedTo Let 4 Room Office space immediately available for lease at Oko Awo St, Op.."
4 BEDROOM HOUSE FOR RENT,5000000,4,4,5,Ajao Estate,Alone in a compound and spacious 4 Bedroom Semi-Detached Duplex in an estate at ..
3 BEDROOM FLAT / APARTMENT FOR RENT,1000000,3,3,2,Ajao Estate,Executive 3 bedRoom Flat House in Isolo Ajao estate Isolo.Lagos Mainland. Good r..
3 BEDROOM FLAT / APARTMENT FOR RENT,1500000,3,3,4,Magodo,Serviced3 Bedroom All Ensuite Apartment in a Call-In Estate Features +Interlovked f..
